O*NET-SOC Code,Title,Workplace Example,Element ID,Element Name,Hot Technology,In Demand
11-1021.00,General and Operations Managers,LSA Visual Easy Lean,2.E.1.d,Materials requirements planning logistics and supply chain software,N,N
11-1021.00,General and Operations Managers,Marketo Marketing Automation,2.E.1.l,Sales and marketing software,Y,N
11-1021.00,General and Operations Managers,Maximizer Software Maximizer Enterprise,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,McAfee,2.E.14.d,Transaction security and virus protection software,N,N
11-1021.00,General and Operations Managers,Medical condition coding software,2.E.9.i,Medical software,N,N
11-1021.00,General and Operations Managers,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Microsoft Dynamics,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Microsoft Dynamics GP,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,Y
11-1021.00,General and Operations Managers,Microsoft Exchange,2.E.16.a,Electronic mail software,N,N
11-1021.00,General and Operations Managers,Microsoft FrontPage,2.E.4.g,Web page creation and editing software,N,N
11-1021.00,General and Operations Managers,Microsoft Internet Explorer,2.E.10.e,Internet browser software,N,N
11-1021.00,General and Operations Managers,Microsoft Office software,2.E.1.k,Office suite software,Y,Y
11-1021.00,General and Operations Managers,Microsoft OneNote,2.E.4.d,Word processing software,N,N
11-1021.00,General and Operations Managers,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,N
11-1021.00,General and Operations Managers,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,Y
11-1021.00,General and Operations Managers,Microsoft Project,2.E.1.e,Project management software,Y,N
11-1021.00,General and Operations Managers,Microsoft Publisher,2.E.4.k,Desktop publishing software,N,N
11-1021.00,General and Operations Managers,Microsoft SharePoint,2.E.5.b,Document management software,Y,N
11-1021.00,General and Operations Managers,Microsoft SQL Server,2.E.6.f,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Microsoft Visio,2.E.1.p,Process mapping and design software,Y,N
11-1021.00,General and Operations Managers,Microsoft Visual Basic,2.E.7.b,Development environment software,Y,N
11-1021.00,General and Operations Managers,Microsoft Visual Basic for Applications VBA,2.E.7.b,Development environment software,Y,N
11-1021.00,General and Operations Managers,Microsoft Windows,2.E.13.c,Operating system software,Y,N
11-1021.00,General and Operations Managers,Microsoft Word,2.E.4.d,Word processing software,Y,N
11-1021.00,General and Operations Managers,MicroStrategy,2.E.6.m,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,Minitab,2.E.9.d,Analytical or scientific software,N,N
11-1021.00,General and Operations Managers,Mozilla Firefox,2.E.10.e,Internet browser software,Y,N
11-1021.00,General and Operations Managers,Mozilla Thunderbird,2.E.16.a,Electronic mail software,N,N
11-1021.00,General and Operations Managers,Nagios,2.E.11.a,Network monitoring software,N,N
11-1021.00,General and Operations Managers,NetSuite ERP,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,NetSuite NetCRM,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,NortonLifeLock cybersecurity software,2.E.14.d,Transaction security and virus protection software,N,N
11-1021.00,General and Operations Managers,Oracle Business Intelligence Enterprise Edition,2.E.6.m,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,Oracle Database,2.E.6.f,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Oracle E-Business Suite Financials,2.E.2.d,Financial analysis software,N,N
11-1021.00,General and Operations Managers,Oracle Eloqua,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Oracle Fusion Applications,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle Hyperion,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle JD Edwards EnterpriseOne,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle PeopleSoft,2.E.2.b,Enterprise resource planning ERP software,Y,N
11-1021.00,General and Operations Managers,Oracle PeopleSoft Financials,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle Primavera Enterprise Project Portfolio Management,2.E.1.e,Project management software,Y,N
11-1021.00,General and Operations Managers,Oracle Solaris,2.E.13.c,Operating system software,N,N
11-1021.00,General and Operations Managers,Oracle Taleo,2.E.1.c,Human resources software,N,N
11-1021.00,General and Operations Managers,Payroll software,2.E.2.e,Time accounting software,N,N
11-1021.00,General and Operations Managers,Personnel scheduling software,2.E.1.c,Human resources software,N,N
11-1021.00,General and Operations Managers,PostgreSQL,2.E.6.j,Object oriented data base management software,Y,N
11-1021.00,General and Operations Managers,Puppet,2.E.7.a,Configuration management software,Y,N
11-1021.00,General and Operations Managers,Qlik Tech QlikView,2.E.6.m,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,Quest Erwin Data Modeler,2.E.6.i,Metadata management software,N,N
11-1021.00,General and Operations Managers,R,2.E.7.e,Object or component oriented development software,Y,N
11-1021.00,General and Operations Managers,Realization Streamliner,2.E.1.e,Project management software,N,N
11-1021.00,General and Operations Managers,Sage 50 Accounting,2.E.2.a,Accounting software,N,N
11-1021.00,General and Operations Managers,Sage MAS 500,2.E.2.d,Financial analysis software,N,N
11-1021.00,General and Operations Managers,Salesforce software,2.E.6.c,Customer relationship management CRM software,Y,N
11-1021.00,General and Operations Managers,Salesforce.com Salesforce CRM,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,SAP Business Objects,2.E.2.b,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,SAP Crystal Reports,2.E.6.e,Data base reporting software,N,N
11-1021.00,General and Operations Managers,SAP software,2.E.2.b,Enterprise resource planning ERP software,Y,N
11-1021.00,General and Operations Managers,SAS,2.E.9.d,Analytical or scientific software,Y,N
11-1021.00,General and Operations Managers,Savant MobileRanger,2.E.6.f,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Screencastify,2.E.4.c,Video creation and editing software,N,N
11-1021.00,General and Operations Managers,SeaMonkey,2.E.10.e,Internet browser software,N,N
11-1021.00,General and Operations Managers,Shell script,2.E.13.c,Operating system software,Y,N
11-1021.00,General and Operations Managers,Siemens NX,2.E.9.k,Computer aided manufacturing CAM software,N,N
11-1021.00,General and Operations Managers,Slack,2.E.16.i,Cloud-based data access and sharing software,Y,N
11-1021.00,General and Operations Managers,Social media sites,2.E.4.g,Web page creation and editing software,N,N
11-1021.00,General and Operations Managers,Software on Sailboats Desktop Sales Manager,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Splunk Enterprise,2.E.11.e,Cloud-based management software,Y,N
11-1021.00,General and Operations Managers,StataCorp Stata,2.E.9.d,Analytical or scientific software,N,N
11-1021.00,General and Operations Managers,Structured query language SQL,2.E.6.f,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Sugar CRM,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Supervisory control and data acquisition SCADA software,2.E.9.g,Industrial control software,N,N
11-1021.00,General and Operations Managers,Tableau,2.E.6.m,Business intelligence and data analysis software,Y,N
11-1021.00,General and Operations Managers,Tax software,2.E.2.a,Accounting software,N,N
11-1021.00,General and Operations Managers,Teradata Database,2.E.6.d,Data base management system software,Y,N
11-1021.00,General and Operations Managers,The MathWorks MATLAB,2.E.9.d,Analytical or scientific software,Y,N
11-1021.00,General and Operations Managers,Vanguard Software Vanguard Sales Manager,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Veritas NetBackup,2.E.15.f,Backup or archival software,N,N
11-1021.00,General and Operations Managers,vtiger CRM,2.E.6.c,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Yardi software,2.E.6.f,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,YouTube,2.E.4.c,Video creation and editing software,N,N
11-1031.00,Legislators,Adobe Acrobat,2.E.5.b,Document management software,Y,N
11-1031.00,Legislators,Adobe FrameMaker,2.E.4.k,Desktop publishing software,N,N
11-1031.00,Legislators,Antenna House,2.E.4.k,Desktop publishing software,N,N
11-1031.00,Legislators,Apple iWork Keynote,2.E.4.f,Presentation software,N,N
11-1031.00,Legislators,Apple iWork Pages,2.E.4.d,Word processing software,N,N
11-1031.00,Legislators,Apple Numbers for Mac,2.E.4.i,Spreadsheet software,N,N
11-1031.00,Legislators,Cisco AnyConnect,2.E.12.a,Access software,N,N
11-1031.00,Legislators,Cisco Webex,2.E.16.b,Video conferencing software,Y,N
11-1031.00,Legislators,Corel WordPerfect Office Suite,2.E.1.k,Office suite software,N,N
11-1031.00,Legislators,GoodReader,2.E.4.d,Word processing software,N,N
11-1031.00,Legislators,iAnnotate,2.E.4.d,Word processing software,N,N
11-1031.00,Legislators,IBM Domino,2.E.12.b,Communications server software,N,N
11-1031.00,Legislators,Legislative Automative Workflow System LAWS,2.E.6.f,Data base user interface and query software,N,N
11-1031.00,Legislators,LogMeIn GoToMeeting,2.E.16.b,Video conferencing software,N,N
11-1031.00,Legislators,Mapping software,2.E.16.e,Map creation software,N,N
11-1031.00,Legislators,Meeting scheduling software,2.E.4.h,Calendar and scheduling software,N,N
11-1031.00,Legislators,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N
11-1031.00,Legislators,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,N
11-1031.00,Legislators,Microsoft Exchange,2.E.16.a,Electronic mail software,N,N
11-1031.00,Legislators,Microsoft Office software,2.E.1.k,Office suite software,Y,N
11-1031.00,Legislators,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,N
11-1031.00,Legislators,Microsoft SharePoint,2.E.5.b,Document management software,Y,N
11-1031.00,Legislators,Microsoft SQL Server,2.E.6.f,Data base user interface and query software,Y,N
11-1031.00,Legislators,Microsoft Visual Basic,2.E.7.b,Development environment software,Y,N
11-1031.00,Legislators,Microsoft Word,2.E.4.d,Word processing software,Y,N
11-1031.00,Legislators,Penultimate,2.E.4.d,Word processing software,N,N
11-1031.00,Legislators,PTC Arbortext,2.E.4.k,Desktop publishing software,N,N
11-1031.00,Legislators,Rocket/Folio NXT,2.E.4.k,Desktop publishing software,N,N
11-1031.00,Legislators,Structured query language SQL,2.E.6.f,Data base user interface and query software,Y,N
11-1031.00,Legislators,Web browser software,2.E.10.e,Internet browser software,N,N
11-1031.00,Legislators,Windows Media Player,2.E.3.b,Music or sound editing software,N,N
11-1031.00,Legislators,XMetaL Author,2.E.4.d,Word processing software,N,N
11-2011.00,Advertising and Promotions Managers,Actuate BIRT,2.E.6.m,Business intelligence and data analysis software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Acrobat,2.E.5.b,Document management software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Acrobat Reader,2.E.5.b,Document management software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe After Effects,2.E.4.c,Video creation and editing software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Creative Cloud software,2.E.4.b,Graphics or photo imaging software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Dreamweaver,2.E.4.g,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Experience Manager (AEM),2.E.4.g,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Illustrator,2.E.4.b,Graphics or photo imaging software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe InDesign,2.E.4.k,Desktop publishing software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe PageMaker,2.E.4.k,Desktop publishing software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Photoshop,2.E.4.b,Graphics or photo imaging software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Premiere Pro,2.E.4.c,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,AdRelevance,2.E.6.e,Data base reporting software,N,N
11-2011.00,Advertising and Promotions Managers,Apple Final Cut Pro,2.E.4.c,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Apple iMovie,2.E.4.c,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Avid Media Composer,2.E.4.c,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Brainworks,2.E.2.b,Enterprise resource planning ERP software,N,N
11-2011.00,Advertising and Promotions Managers,Business analysis software,2.E.9.d,Analytical or scientific software,N,N
11-2011.00,Advertising and Promotions Managers,Constant Contact,2.E.6.c,Customer relationship management CRM software,N,N
11-2011.00,Advertising and Promotions Managers,Data visualization software,2.E.9.d,Analytical or scientific software,N,N
11-2011.00,Advertising and Promotions Managers,Data warehousing software,2.E.5.b,Document management software,N,N
11-2011.00,Advertising and Promotions Managers,Database software,2.E.6.f,Data base user interface and query software,N,N
11-2011.00,Advertising and Promotions Managers,Drupal,2.E.7.h,Web platform development software,N,N
11-2011.00,Advertising and Promotions Managers,Email software,2.E.16.a,Electronic mail software,N,N
11-2011.00,Advertising and Promotions Managers,Experience in Software Webplanner,2.E.1.e,Project management software,N,N
11-2011.00,Advertising and Promotions Managers,Extensible markup language XML,2.E.7.c,Enterprise application integration software,Y,N
11-2011.00,Advertising and Promotions Managers,Facebook,2.E.4.g,Web page creation and editing software,Y,N
11-2011.00,Advertising and Promotions Managers,Google Ads,2.E.1.l,Sales and marketing software,N,N
11-2011.00,Advertising and Promotions Managers,Google Analytics,2.E.9.d,Analytical or scientific software,Y,N
11-2011.00,Advertising and Promotions Managers,Google DoubleClick,2.E.6.m,Business intelligence and data analysis software,N,N
11-2011.00,Advertising and Promotions Managers,Hootsuite,2.E.7.c,Enterprise application integration software,N,N
11-2011.00,Advertising and Promotions Managers,HubSpot software,2.E.1.l,Sales and marketing software,Y,N
11-2011.00,Advertising and Promotions Managers,Hypertext markup language HTML,2.E.7.h,Web platform development software,Y,N
11-2011.00,Advertising and Promotions Managers,IBM Lotus Notes,2.E.16.a,Electronic mail software,N,N
11-2011.00,Advertising and Promotions Managers,Instagram,2.E.4.g,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Inventory tracking software,2.E.1.f,Inventory management software,N,N
11-2011.00,Advertising and Promotions Managers,JavaScript,2.E.7.h,Web platform development software,Y,N
11-2011.00,Advertising and Promotions Managers,LinkedIn,2.E.4.g,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,MailChimp,2.E.16.a,Electronic mail software,N,N
11-2011.00,Advertising and Promotions Managers,Marketo Marketing Automation,2.E.1.l,Sales and marketing software,Y,N
11-2011.00,Advertising and Promotions Managers,MarketSharp,2.E.6.c,Customer relationship management CRM software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Access,2.E.6.f,Data base user interface and query software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics,2.E.2.b,Enterprise resource planning ERP software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics Marketing,2.E.6.f,Data base user interface and query software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Excel,2.E.4.i,Spreadsheet software,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Office software,2.E.1.k,Office suite software,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Outlook,2.E.16.a,Electronic mail software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft PowerPoint,2.E.4.f,Presentation software,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Project,2.E.1.e,Project management software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Publisher,2.E.4.k,Desktop publishing software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft SharePoint,2.E.5.b,Document management software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft SQL Server,2.E.6.d,Data base management system software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Windows,2.E.13.c,Operating system software,Y,N
