O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Not Relevant,Date,Domain Source
11-2011.00,Advertising and Promotions Managers,2.A.1.c,Writing,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.1.c,Writing,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.1.d,Speaking,IM,Importance,4.12,8,0.1250,3.8800,4.3700,N,,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.1.d,Speaking,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.1.e,Mathematics,IM,Importance,2.88,8,0.1250,2.6300,3.1200,N,,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.1.e,Mathematics,LV,Level,3.00,8,0.0000,3.0000,3.0000,N,N,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.1.f,Science,IM,Importance,1.50,8,0.1890,1.1296,1.8704,N,,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.1.f,Science,LV,Level,0.50,8,0.1890,0.1296,0.8704,N,N,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.2.a,Critical Thinking,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.2.a,Critical Thinking,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.2.b,Active Learning,IM,Importance,3.38,8,0.1830,3.0164,3.7336,N,,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.2.b,Active Learning,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.2.c,Learning Strategies,IM,Importance,3.00,8,0.0000,3.0000,3.0000,N,,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.2.c,Learning Strategies,LV,Level,3.12,8,0.1250,2.8800,3.3700,N,N,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.2.d,Monitoring,IM,Importance,3.50,8,0.2673,2.9762,4.0238,N,,08/2026,Analyst
11-2011.00,Advertising and Promotions Managers,2.A.2.d,Monitoring,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.a,Reading Comprehension,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.a,Reading Comprehension,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.b,Active Listening,IM,Importance,4.12,8,0.1250,3.8800,4.3700,N,,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.b,Active Listening,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.c,Writing,IM,Importance,3.25,8,0.1637,2.9292,3.5708,N,,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.c,Writing,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.d,Speaking,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.d,Speaking,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.e,Mathematics,IM,Importance,3.00,8,0.1890,2.6296,3.3704,N,,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.e,Mathematics,LV,Level,3.00,8,0.1890,2.6296,3.3704,N,N,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.f,Science,IM,Importance,1.75,8,0.1637,1.4292,2.0708,N,,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.1.f,Science,LV,Level,1.25,8,0.3134,0.6358,1.8642,N,N,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.2.a,Critical Thinking,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.2.a,Critical Thinking,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.2.b,Active Learning,IM,Importance,3.88,8,0.2266,3.4309,4.3191,N,,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.2.b,Active Learning,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.2.c,Learning Strategies,IM,Importance,3.25,8,0.1637,2.9292,3.5708,N,,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.2.c,Learning Strategies,LV,Level,3.50,8,0.1890,3.1296,3.8704,N,N,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.2.d,Monitoring,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2026,Analyst
11-2021.00,Marketing Managers,2.A.2.d,Monitoring,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2022.00,Sales Managers,2.A.1.a,Reading Comprehension,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2025,Analyst
11-2022.00,Sales Managers,2.A.1.a,Reading Comprehension,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2025,Analyst
11-2022.00,Sales Managers,2.A.1.b,Active Listening,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2025,Analyst
11-2022.00,Sales Managers,2.A.1.b,Active Listening,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2025,Analyst
11-2022.00,Sales Managers,2.A.1.c,Writing,IM,Importance,3.62,8,0.1830,3.2664,3.9836,N,,08/2025,Analyst
11-2022.00,Sales Managers,2.A.1.c,Writing,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2025,Analyst
11-2022.00,Sales Managers,2.A.1.d,Speaking,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,08/2025,Analyst
11-2022.00,Sales Managers,2.A.1.d,Speaking,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2025,Analyst
11-2022.00,Sales Managers,2.A.1.e,Mathematics,IM,Importance,3.00,8,0.0000,3.0000,3.0000,N,,08/2025,Analyst
11-2022.00,Sales Managers,2.A.1.e,Mathematics,LV,Level,3.12,8,0.1250,2.8800,3.3700,N,N,08/2025,Analyst
11-2022.00,Sales Managers,2.A.1.f,Science,IM,Importance,1.62,8,0.1830,1.2664,1.9836,N,,08/2025,Analyst
11-2022.00,Sales Managers,2.A.1.f,Science,LV,Level,0.62,8,0.1830,0.2664,0.9836,N,N,08/2025,Analyst
11-2022.00,Sales Managers,2.A.2.a,Critical Thinking,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2025,Analyst
11-2022.00,Sales Managers,2.A.2.a,Critical Thinking,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2025,Analyst
11-2022.00,Sales Managers,2.A.2.b,Active Learning,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,08/2025,Analyst
11-2022.00,Sales Managers,2.A.2.b,Active Learning,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,08/2025,Analyst
11-2022.00,Sales Managers,2.A.2.c,Learning Strategies,IM,Importance,3.12,8,0.1250,2.8800,3.3700,N,,08/2025,Analyst
11-2022.00,Sales Managers,2.A.2.c,Learning Strategies,LV,Level,3.62,8,0.1830,3.2664,3.9836,N,N,08/2025,Analyst
11-2022.00,Sales Managers,2.A.2.d,Monitoring,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2025,Analyst
11-2022.00,Sales Managers,2.A.2.d,Monitoring,LV,Level,4.62,8,0.1830,4.2664,4.9836,N,N,08/2025,Analyst
11-2032.00,Public Relations Managers,2.A.1.a,Reading Comprehension,IM,Importance,4.12,8,0.1250,3.8800,4.3700,N,,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.1.a,Reading Comprehension,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.1.b,Active Listening,IM,Importance,4.12,8,0.1250,3.8800,4.3700,N,,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.1.b,Active Listening,LV,Level,4.12,8,0.1250,3.8800,4.3700,N,N,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.1.c,Writing,IM,Importance,4.00,8,0.1890,3.6296,4.3704,N,,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.1.c,Writing,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.1.d,Speaking,IM,Importance,4.25,8,0.1637,3.9292,4.5708,N,,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.1.d,Speaking,LV,Level,4.00,8,0.2673,3.4762,4.5238,N,N,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.1.e,Mathematics,IM,Importance,2.38,8,0.1830,2.0164,2.7336,N,,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.1.e,Mathematics,LV,Level,2.25,8,0.2500,1.7600,2.7400,N,N,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.1.f,Science,IM,Importance,1.12,8,0.1250,1.0000,1.3700,N,,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.1.f,Science,LV,Level,0.25,8,0.2500,0.0000,0.7400,N,Y,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.2.a,Critical Thinking,IM,Importance,3.88,8,0.2266,3.4309,4.3191,N,,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.2.a,Critical Thinking,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.2.b,Active Learning,IM,Importance,3.62,8,0.1830,3.2664,3.9836,N,,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.2.b,Active Learning,LV,Level,3.50,8,0.1890,3.1296,3.8704,N,N,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.2.c,Learning Strategies,IM,Importance,3.00,8,0.2673,2.4762,3.5238,N,,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.2.c,Learning Strategies,LV,Level,3.25,8,0.2500,2.7600,3.7400,N,N,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.2.d,Monitoring,IM,Importance,3.50,8,0.1890,3.1296,3.8704,N,,08/2026,Analyst
11-2032.00,Public Relations Managers,2.A.2.d,Monitoring,LV,Level,3.62,8,0.2631,3.1094,4.1406,N,N,08/2026,Analyst
11-2033.00,Fundraising Managers,2.A.1.a,Reading Comprehension,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.1.a,Reading Comprehension,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.1.b,Active Listening,IM,Importance,4.00,8,0.1890,3.6296,4.3704,N,,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.1.b,Active Listening,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.1.c,Writing,IM,Importance,3.88,8,0.2266,3.4309,4.3191,N,,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.1.c,Writing,LV,Level,4.00,8,0.1890,3.6296,4.3704,N,N,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.1.d,Speaking,IM,Importance,4.12,8,0.1250,3.8800,4.3700,N,,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.1.d,Speaking,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.1.e,Mathematics,IM,Importance,3.00,8,0.2673,2.4762,3.5238,N,,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.1.e,Mathematics,LV,Level,2.75,8,0.3134,2.1358,3.3642,N,N,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.1.f,Science,IM,Importance,1.25,8,0.1637,1.0000,1.5708,N,,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.1.f,Science,LV,Level,0.25,8,0.1637,0.0000,0.5708,N,Y,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.2.a,Critical Thinking,IM,Importance,4.12,8,0.1250,3.8800,4.3700,N,,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.2.a,Critical Thinking,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.2.b,Active Learning,IM,Importance,3.38,8,0.2631,2.8594,3.8906,N,,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.2.b,Active Learning,LV,Level,3.62,8,0.2631,3.1094,4.1406,N,N,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.2.c,Learning Strategies,IM,Importance,2.62,8,0.1830,2.2664,2.9836,N,,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.2.c,Learning Strategies,LV,Level,2.75,8,0.3134,2.1358,3.3642,N,N,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.2.d,Monitoring,IM,Importance,3.12,8,0.1250,2.8800,3.3700,N,,08/2025,Analyst
11-2033.00,Fundraising Managers,2.A.2.d,Monitoring,LV,Level,3.88,8,0.2266,3.4309,4.3191,N,N,08/2025,Analyst
11-3012.00,Administrative Services Managers,2.A.1.a,Reading Comprehension,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.1.a,Reading Comprehension,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.1.b,Active Listening,IM,Importance,4.00,8,0.0000,4.0000,4.0000,N,,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.1.b,Active Listening,LV,Level,4.00,8,0.0000,4.0000,4.0000,N,N,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.1.c,Writing,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.1.c,Writing,LV,Level,3.75,8,0.1637,3.4292,4.0708,N,N,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.1.d,Speaking,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.1.d,Speaking,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.1.e,Mathematics,IM,Importance,2.25,8,0.1637,1.9292,2.5708,N,,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.1.e,Mathematics,LV,Level,2.12,8,0.1250,1.8800,2.3700,N,N,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.1.f,Science,IM,Importance,1.00,8,0.0000,1.0000,1.0000,N,,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.1.f,Science,LV,Level,0.00,8,0.0000,0.0000,0.0000,N,Y,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.2.a,Critical Thinking,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.2.a,Critical Thinking,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.2.b,Active Learning,IM,Importance,3.12,8,0.2266,2.6809,3.5691,N,,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.2.b,Active Learning,LV,Level,3.38,8,0.1830,3.0164,3.7336,N,N,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.2.c,Learning Strategies,IM,Importance,3.00,8,0.0000,3.0000,3.0000,N,,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.2.c,Learning Strategies,LV,Level,3.25,8,0.1637,2.9292,3.5708,N,N,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.2.d,Monitoring,IM,Importance,3.38,8,0.1830,3.0164,3.7336,N,,07/2017,Analyst
11-3012.00,Administrative Services Managers,2.A.2.d,Monitoring,LV,Level,3.62,8,0.1830,3.2664,3.9836,N,N,07/2017,Analyst
11-3013.00,Facilities Managers,2.A.1.a,Reading Comprehension,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.1.a,Reading Comprehension,LV,Level,3.88,8,0.1250,3.6300,4.1200,N,N,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.1.b,Active Listening,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.1.b,Active Listening,LV,Level,3.75,8,0.1637,3.4292,4.0708,N,N,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.1.c,Writing,IM,Importance,3.25,8,0.1637,2.9292,3.5708,N,,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.1.c,Writing,LV,Level,3.75,8,0.1637,3.4292,4.0708,N,N,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.1.d,Speaking,IM,Importance,3.88,8,0.1250,3.6300,4.1200,N,,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.1.d,Speaking,LV,Level,3.75,8,0.1637,3.4292,4.0708,N,N,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.1.e,Mathematics,IM,Importance,2.75,8,0.3134,2.1358,3.3642,N,,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.1.e,Mathematics,LV,Level,2.75,8,0.3134,2.1358,3.3642,N,N,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.1.f,Science,IM,Importance,1.50,8,0.1890,1.1296,1.8704,N,,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.1.f,Science,LV,Level,0.75,8,0.3134,0.1358,1.3642,N,N,08/2024,Analyst
11-3013.00,Facilities Managers,2.A.2.a,Critical Thinking,IM,Importance,3.75,8,0.1637,3.4292,4.0708,N,,08/2024,Analyst
